Profil,Stok,ID,Panjang_mm,Kerf_mm
SHS40x40,23,1685932C2,600.0,3
SHS40x40,23,1685932C3,600.0,3
SHS40x40,23,1685932C4,600.0,3
SHS40x40,23,1685951C0,600.0,3
SHS40x40,23,1685951C1,600.0,3
SHS40x40,23,1685951C2,600.0,3
SHS40x40,23,1685960C0,600.0,3
SHS40x40,23,1685960C1,600.0,3
SHS40x40,24,1685960C2,600.0,3
SHS40x40,24,1685969C0,600.0,3
SHS40x40,24,1685969C1,600.0,3
SHS40x40,24,1685969C2,600.0,3
SHS40x40,24,1685969C3,600.0,3
SHS40x40,24,1685969C4,600.0,3
SHS40x40,24,1685988C0,600.0,3
SHS40x40,24,1685988C1,600.0,3
SHS40x40,24,1685988C2,600.0,3
SHS40x40,25,1685997C0,600.0,3
SHS40x40,25,1685997C1,600.0,3
SHS40x40,25,1685997C2,600.0,3
SHS40x40,25,1686006C0,600.0,3
SHS40x40,25,1686006C1,600.0,3
SHS40x40,25,1686006C2,600.0,3
SHS40x40,25,1686006C3,600.0,3
SHS40x40,25,1686006C4,600.0,3
SHS40x40,25,1686025C0,600.0,3
SHS40x40,26,1686025C1,600.0,3
SHS40x40,26,1686025C2,600.0,3
SHS40x40,26,1686034C0,600.0,3
SHS40x40,26,1686034C1,600.0,3
SHS40x40,26,1686034C2,600.0,3
SHS40x40,26,1686043C0,600.0,3
SHS40x40,26,1686043C1,600.0,3
SHS40x40,26,1686043C2,600.0,3
SHS40x40,26,1686043C3,600.0,3
SHS40x40,27,1686043C4,600.0,3
