stok_acuan,id_potongan,panjang_model_mm,asal,profil_acuan,panjang_final_disetujui_mm,status
44,1685524S0,260.7,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
45,1690074,4849.0001064,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
45,1690244,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
45,1685524S1,260.7,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
46,1690076,4849.0001064,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
46,1690246,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
46,1685536S0,260.7,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
47,1690087,4849.0001064,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
47,1690249,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
47,1685536S1,260.7,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
48,1690100,4849.0001064,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
48,1690252,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
48,1685564S0,260.7,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
49,1690102,4849.0001064,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
49,1690254,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
49,1685564S1,260.7,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
50,1690112,4849.0001064,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
50,1690256,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
50,1685576S0,260.7,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
51,1690114,4849.0001064,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
51,1690258,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
51,1685576S1,260.7,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
52,1685454,4754.0000424,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
52,1690260,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
52,1687999,297.999912,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
53,1685460,4754.0000424,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
53,1690262,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
53,1688008,297.999912,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
54,1685463,4754.0000424,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
54,1690264,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
54,1685616S0,260.7,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
55,1685467,4754.0000424,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
55,1690266,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
55,1685616S1,260.7,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
56,1685469,4754.0000424,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
56,1690268,873.9999792,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
