profil,stok,id,komponen,panjang_mm,status
RHS50x100,107,1686482-R08-2S1,B02,460.5878,studi - belum fabrikasi
RHS50x100,107,1686494-R08-2S0,B02,260.7,studi - belum fabrikasi
RHS50x100,107,1686494-R08-2S1,B02,260.7,studi - belum fabrikasi
RHS50x100,107,1685524S0,B02,260.7,studi - belum fabrikasi
RHS50x100,107,1685524S1,B02,260.7,studi - belum fabrikasi
RHS50x100,107,1685725S0,B02,260.7,studi - belum fabrikasi
RHS50x100,107,1685725S1,B02,260.7,studi - belum fabrikasi
RHS50x100,107,1685914S0,B02,260.7,studi - belum fabrikasi
RHS50x100,107,1685914S1,B02,260.7,studi - belum fabrikasi
RHS50x100,107,1685492S0,B02,260.7,studi - belum fabrikasi
RHS50x100,107,1685492S1,B02,260.7,studi - belum fabrikasi
RHS50x100,107,1685684S0,B02,260.7,studi - belum fabrikasi
RHS50x100,107,1685684S1,B02,260.7,studi - belum fabrikasi
RHS50x100,107,1685873S0,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685873S1,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685502S0,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685502S1,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685697S0,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685697S1,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685886S0,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685886S1,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685536S0,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685536S1,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685564S0,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685564S1,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685616S0,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685616S1,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685656S0,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685656S1,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685734S0,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685734S1,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685762S0,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685762S1,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685808S0,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685808S1,B02,260.7,studi - belum fabrikasi
RHS50x100,108,1685845S0,B02,260.7,studi - belum fabrikasi
RHS50x100,109,1685845S1,B02,260.7,studi - belum fabrikasi
RHS50x100,109,1685923S0,B02,260.7,studi - belum fabrikasi
RHS50x100,109,1685923S1,B02,260.7,studi - belum fabrikasi
RHS50x100,109,1685951S0,B02,260.7,studi - belum fabrikasi
RHS50x100,109,1685951S1,B02,260.7,studi - belum fabrikasi
RHS50x100,109,1685997S0,B02,260.7,studi - belum fabrikasi
RHS50x100,109,1685997S1,B02,260.7,studi - belum fabrikasi
RHS50x100,109,1686034S0,B02,260.7,studi - belum fabrikasi
RHS50x100,109,1686034S1,B02,260.7,studi - belum fabrikasi
SHS40x40-tangga-mesh,1,C2-SL4-1-01-P1-M00F0,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,1,C2-SL4-1-01-P1-M00F1,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,1,C2-SL4-1-01-P1-M01F0,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,1,C2-SL4-1-01-P1-M01F1,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,1,C2-SL4-2-01-P1-M00F0,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,1,C2-SL4-2-01-P1-M00F1,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,1,C2-SL4-2-01-P1-M01F0,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,1,C2-SL1-1-01-P1-M00F0,M02,500.0,studi - belum fabrikasi
SHS40x40-tangga-mesh,2,C2-SL4-2-01-P1-M01F1,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,2,C2-SR4-1-01-P1-M00F0,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,2,C2-SR4-1-01-P1-M00F1,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,2,C2-SR4-1-01-P1-M01F0,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,2,C2-SR4-1-01-P1-M01F1,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,2,C2-SR4-2-01-P1-M00F0,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,2,C2-SR4-2-01-P1-M00F1,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,2,C2-SL1-1-01-P1-M00F1,M02,500.0,studi - belum fabrikasi
SHS40x40-tangga-mesh,3,C2-SR4-2-01-P1-M01F0,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,3,C2-SR4-2-01-P1-M01F1,M02,781.851,studi - belum fabrikasi
SHS40x40-tangga-mesh,3,C2-SL3-1-01-P1-M00F0,M02,712.155,studi - belum fabrikasi
SHS40x40-tangga-mesh,3,C2-SL3-1-01-P1-M00F1,M02,712.155,studi - belum fabrikasi
