profil,stok,id,komponen,panjang_mm,status
RHS50x100,78,1690225,X01,2481.9876,studi - belum fabrikasi
RHS50x100,78,1690258,B01,874.0,studi - belum fabrikasi
RHS50x100,79,1694646,X06,2479.0,studi - belum fabrikasi
RHS50x100,79,1694642,X06,2475.0001,studi - belum fabrikasi
RHS50x100,79,1690260,B01,874.0,studi - belum fabrikasi
RHS50x100,80,1694669,X06,2475.0001,studi - belum fabrikasi
RHS50x100,80,1694628,X06,2443.0,studi - belum fabrikasi
RHS50x100,80,1690262,B01,874.0,studi - belum fabrikasi
RHS50x100,80,SR-L-3-1-1,I02,166.69,studi - belum fabrikasi
RHS50x100,81,1694651,X06,2364.0001,studi - belum fabrikasi
RHS50x100,81,1694633,X06,2330.0,studi - belum fabrikasi
RHS50x100,81,SC-R3-P00,I01,1146.0,studi - belum fabrikasi
RHS50x100,82,I5-P00,I01,2285,studi - belum fabrikasi
RHS50x100,82,I5-P01,I01,2285,studi - belum fabrikasi
RHS50x100,82,I1-J0,I03,1400.0378,studi - belum fabrikasi
RHS50x100,83,I5-P10,I01,2285,studi - belum fabrikasi
RHS50x100,83,I5-P11,I01,2285,studi - belum fabrikasi
RHS50x100,83,I1-J1,I03,1400.0378,studi - belum fabrikasi
RHS50x100,84,1694619,X06,2255.0,studi - belum fabrikasi
RHS50x100,84,1694655,X06,2255.0,studi - belum fabrikasi
RHS50x100,84,I1-J2,I03,1400.0378,studi - belum fabrikasi
RHS50x100,85,1694624,X06,2157.9998,studi - belum fabrikasi
RHS50x100,85,1694660,X06,2157.9998,studi - belum fabrikasi
RHS50x100,85,SC-L4-P00,I01,1646.0,studi - belum fabrikasi
RHS50x100,86,SC-L5-P00,I01,2146.0,studi - belum fabrikasi
RHS50x100,86,SC-L5-P01,I01,2146.0,studi - belum fabrikasi
RHS50x100,86,1690651,X04,1694.0001,studi - belum fabrikasi
RHS50x100,87,SC-L5-P10,I01,2146.0,studi - belum fabrikasi
RHS50x100,87,SC-L5-P11,I01,2146.0,studi - belum fabrikasi
RHS50x100,87,SC-L4-P01,I01,1646.0,studi - belum fabrikasi
RHS50x100,88,SC-R5-P00,I01,2146.0,studi - belum fabrikasi
RHS50x100,88,SC-R5-P01,I01,2146.0,studi - belum fabrikasi
